name,type,criticality,description,website,primaryContact,email,phone,address,contractValue,contractStart,contractEnd,services,dataAccess,dataTypes,complianceFrameworks,hasContract,hasSLA,hasInsurance,hasDPA,hasBAA,hasSOC2,hasISO27001,hasGDPRCompliance,hasSecurityAssessment,lastAuditDate,nextReviewDate,riskLevel,status,notes
"Acme Software Solutions","Software","High","Cloud-based CRM platform","www.acmesoftware.com","John Smith","john.smith@acmesoftware.com","+1-555-0100","123 Tech Lane, San Francisco, CA 94105","$120,000","2024-01-01","2025-12-31","CRM, Customer Analytics, API Integration","Moderate","PII, Contact Data","GDPR, SOC2",true,true,true,true,false,true,false,true,true,"2024-06-15","2025-01-15","Medium","Active","Primary CRM vendor, excellent support"
"Beta Cloud Services","Cloud","Critical","Infrastructure as a Service (IaaS)","www.betacloud.com","Jane Doe","jane.doe@betacloud.com","+1-555-0200","456 Cloud Street, Seattle, WA 98101","$250,000","2023-06-01","2024-12-31","Cloud Hosting, Database, Storage, CDN","Full","PII, Financial, Customer Data","GDPR, SOC2, ISO27001",true,true,true,true,false,true,true,true,true,"2024-09-01","2024-12-01","High","Active","Critical infrastructure provider, renewal pending"
"Gamma Consulting Group","Consulting","Medium","Cybersecurity consulting and compliance","www.gammaconsulting.com","Robert Wilson","robert.wilson@gammaconsulting.com","+1-555-0300","789 Business Ave, Boston, MA 02101","$80,000","2024-03-01","2025-02-28","Security Assessment, Compliance Review, Training","Limited","","",true,false,false,false,false,false,false,false,true,"2024-08-20","2025-03-01","Low","Active","Annual security assessment provider"
"Delta Payment Processing","Software","Critical","Payment gateway and processing","www.deltapay.com","Sarah Johnson","sarah.johnson@deltapay.com","+1-555-0400","321 Finance Blvd, New York, NY 10001","$180,000","2023-01-15","2024-01-14","Payment Processing, Fraud Detection, PCI Compliance","Full","Financial, PII, Payment Data","PCI-DSS, SOC2",true,true,true,true,false,true,false,true,true,"2024-07-10","2024-10-15","High","Under Review","Contract renewal in progress, security review needed"
"Epsilon Marketing Tools","Software","Low","Email marketing and automation","www.epsilonmarketing.com","Michael Brown","michael.brown@epsilonmarketing.com","+1-555-0500","555 Marketing Plaza, Austin, TX 78701","$25,000","2024-02-01","2025-01-31","Email Marketing, Analytics, A/B Testing","Limited","Email Addresses, Engagement Data","GDPR",true,true,false,true,false,false,false,true,false,"","2025-02-01","Low","Active","Low-risk marketing tool"
"Zeta Healthcare IT","Software","Critical","Electronic Health Records (EHR) system","www.zetahealth.com","Dr. Emily Chen","emily.chen@zetahealth.com","+1-555-0600","888 Medical Center Dr, Chicago, IL 60601","$500,000","2022-09-01","2025-08-31","EHR, Patient Portal, Lab Integration, Billing","Full","PHI, PII, Clinical Data, Billing Data","HIPAA, HITECH, SOC2",true,true,true,true,true,true,true,true,true,"2024-10-01","2025-04-01","Medium","Active","HIPAA-compliant, BAA in place, annual audit completed"
"Eta Analytics Platform","Software","High","Business intelligence and data analytics","www.etaanalytics.com","David Martinez","david.martinez@etaanalytics.com","+1-555-0700","999 Data Drive, San Jose, CA 95101","$150,000","2024-04-01","2025-03-31","BI Dashboards, Predictive Analytics, Reporting","Moderate","Business Data, Financial Metrics","SOC2",true,true,true,false,false,true,false,false,true,"2024-05-15","2024-11-15","Medium","Active","DPA needed, security assessment pending"
"Theta Office Supplies","Hardware","Low","Office furniture and equipment","www.thetaoffice.com","Lisa Anderson","lisa.anderson@thetaoffice.com","+1-555-0800","111 Office Park, Denver, CO 80202","$35,000","2024-01-01","2024-12-31","Office Furniture, Equipment, Supplies","None","","",true,false,true,false,false,false,false,false,false,"","2024-12-01","Low","Active","Physical goods only, no data access"
"Iota Legal Services","Professional Services","Medium","Corporate legal counsel","www.iotalegal.com","Attorney Mark Thompson","mark.thompson@iotalegal.com","+1-555-0900","222 Law Center, Philadelphia, PA 19101","$200,000","2023-07-01","2024-06-30","Legal Counsel, Contract Review, Compliance","Limited","","",true,false,true,false,false,false,false,false,false,"","2024-06-30","Low","Active","Attorney-client privilege, minimal data access"
"Kappa Security Solutions","Professional Services","High","Physical and cybersecurity services","www.kappasecurity.com","Thomas White","thomas.white@kappasecurity.com","+1-555-1000","333 Security Blvd, Washington, DC 20001","$175,000","2024-06-01","2025-05-31","Security Guards, Access Control, Monitoring","Limited","","ISO27001",true,true,true,false,false,false,true,false,true,"2024-08-01","2025-06-01","Medium","Active","Both physical and cyber services"
"Lambda Training Institute","Professional Services","Low","Employee training and development","www.lambdatraining.com","Rachel Green","rachel.green@lambdatraining.com","+1-555-1100","444 Education Way, Portland, OR 97201","$45,000","2024-03-15","2025-03-14","Compliance Training, Security Awareness, Leadership","None","","",true,false,false,false,false,false,false,false,false,"","2025-03-14","Low","Active","Annual training programs"
"Mu Backup Services","Cloud","High","Data backup and disaster recovery","www.mubackup.com","Kevin Brown","kevin.brown@mubackup.com","+1-555-1200","555 Storage St, Phoenix, AZ 85001","$95,000","2024-01-15","2025-01-14","Cloud Backup, Disaster Recovery, Archiving","Full","All Company Data","SOC2",true,true,true,true,false,true,false,true,true,"2024-09-15","2025-01-15","Medium","Active","Critical backup vendor, encryption in transit and at rest"
"Nu Telecommunications","Hardware","Medium","VoIP phone system and services","www.nutel.com","Patricia Davis","patricia.davis@nutel.com","+1-555-1300","666 Voice Ave, Miami, FL 33101","$65,000","2023-11-01","2024-10-31","VoIP, Video Conferencing, Phone System","Limited","Call Records","",true,true,false,false,false,false,false,false,false,"","2024-10-31","Medium","Active","Phone system vendor, some call data access"
"Xi HR Solutions","Software","High","Human resources management system (HRMS)","www.xihr.com","Christopher Lee","christopher.lee@xihr.com","+1-555-1400","777 HR Plaza, Minneapolis, MN 55401","$135,000","2024-02-01","2025-01-31","Payroll, Benefits, Time Tracking, Onboarding","Full","PII, SSN, Financial, Benefits Data","SOC2",true,true,true,true,false,true,false,true,true,"2024-07-01","2025-02-01","High","Active","Handles sensitive employee data, DPA and security assessment current"
"Omicron IT Support","Professional Services","Medium","Managed IT services and helpdesk","www.omicronit.com","Jennifer Taylor","jennifer.taylor@omicronit.com","+1-555-1500","888 Tech Support Ln, Atlanta, GA 30301","$120,000","2024-05-01","2025-04-30","Helpdesk, Network Management, IT Support","Moderate","System Access, User Data","",true,true,true,false,false,false,false,false,true,"2024-09-01","2025-05-01","Medium","Active","Privileged access to systems, security assessment needed"
